"","PWSID","ILI","REPORTING_YEAR"
"171","CA5710001",4.092231576,2018
"172","CA3410006",0.394726016,2018
"173","CA1910013",1.567965462,2018
"174","CAc(""4910004"", ""0028"")",1.192210078,2018
"175","CA5805001",4.644433754,2018
"176","CA5810003",3.039552501,2018
"177","CAc(""1210001"", ""1210021"")",3.154656972,2018
"178","CA4910009",1.145530575,2018
"179","CAc(""3010042"", ""3010055"")",0.257477479,2018
"180","CA1010027",17.77960704,2018
"181","CA1020",1.935184377,2018
"182","CAc(""4910004"", ""0028"")",1.192210078,2018
"183","CA1910125",0.765602155,2018
"184","CA30100004",0.692972915,2019
"185","CA3010073",1.14087609,2018
"186","CA1910155",0.79497075,2018
"187","CA3010022",0.913944621,2018
"188","CA3710015",1.096312,2019
"189","CA1910067",1.60801602,2019
"190","CA1910213",0.0245,2018
"191","CA3710019",0.27658594,2018
"192","CA4310014",1.053344296,2018
"193","CA1910225",0.350643347,2018
"194","CA3610029",NA,2019
"195","CA0710006",3.991393986,2018
"196","CA3610057",0.216757454,2018
"197","CA3310001",2.302942323,2019
"198","CA3610014",2.712736503,2018
"199","CA5610017",0.566326092,2018
"200","CA0110001",1.784262709,2018
"201","CA1510019",0.334117628,2018
"202","CA40",6.830604246,2018
"203","CA40",2.658981233,2018
"204","CA3010038",1.000905969,2018
"205","CAc(""54"", ""10010"")",3.407431872,2018
"206","CAc(""07"", ""10008"")",2.037916151,2019
"207","CA5610016",2.044978019,2018
"208","CA1910205",0.749000663,2018
"209","CA4410010",0.963031698,2018
"210","CA4110011",0.581308508,2019
"211","CA1910174",1.024245304,2018
"212","CA4310018",1.163530682,2018
"213","CA4310011",1.408507212,2018
"214","CA5610007",1.258197488,2018
"215","CA4310005",2.189195102,2018
"216","CA3010001",1.676130733,2018
"217","CA2110003",0.252205655,2018
"218","CA4210010",1.071690867,2019
"219","CA1910090",0.856473875,2018
"220","CA1910140",1.247934344,2018
"221","CA2910003",2.916161165,2018
"222","CA5010018",2.166198098,2018
"223","CA1910007",5.528077627,2018
"224","CA1210016",1.445185813,2018
"225","CA0410011",1.046973229,2018
"226","CA1210009",4.860235172,2018
"227","CA4310004",2.024784432,2018
"228","CA3110008",1.883001108,2018
"229","CA3610049",1.03365866,2018
"230","CA1210004",1.668595758,2018
"231","CA4010011",0.291390997,2018
"232","CA1210006",2.580495964,2018
"233","CA3610004",2.921933631,2018
"234","CA4010014",0.429536525,2018
"235","CA1210013",NA,2018
"236","CA5610011",0.503318269,2018
"237","CAc(""31"", ""10001"")",2.501453574,2018
"238","CA3710029",1.175179486,2018
"239","CA0810001",4.676598537,2018
"240","CA1910204",1.237726079,2018
"241","CA3610005",0.678262637,2019
"242","CA3310016",0.60788056,2018
"243","CA5610009",0.0893,2018
"244","CA3310021",1.272363207,2018
"245","CA5610080",NA,2018
"246","CA4110016",0.487778971,2018
"247","CA4510014",1.442664939,2018
"248","CA4910013",1.391542747,2018
"249","CA1910038",1.776336851,2018
"250","CA0710009",0.610712199,2019
"251","CA3610013",5.634818133,2018
"252","CA1910204",1.163174579,2018
"253","CAc(""1910203"", ""1910070"", ""1910027"", ""1910025"", ""1910005"")",2.376059532,2018
"254","CA1910049",1.409322081,2018
"255","CA1910157",1.352312191,2018
"256","CA3310009",1.961358084,2019
"257","CA3610121",4.905075101,2019
"258","CA1910043",0.879171829,2018
"259","CA3610125",1.549242987,2019
"260","CA1510020",2.211178492,2018
"261","CA4110022",1.567787756,2019
"262","CA3310005",4.115700508,2018
"263","CA3710027",0.643637179,2018
"264","CA1910091",1.848189136,2018
"265","CA3610041",2.463149768,2018
"266","CA3710002",0.828599605,2018
"267","CA3910006",3.212422924,2018
"268","CA1910211",0.514452194,2018
"269","CA1910211",0.453662794,2018
"270","CA1910161",-0.0119,2018
"271","CA1910009",1.107951957,2018
"272","CA1910105",0.859988994,2019
"273","CA5610043",0.0182,2019
"274","CA3310008",2.803392345,2018
"275","CA4210007",1.331173059,2018
"276","CA1910051",0.439343636,2018
"277","CA4310012",1.395447812,2018
"278","CAc(""3010068"", ""3010093"")",NA,2018
"279","CA3610034",0.815462499,2018
"280","CA0371005",-0.203052589,2019
"281","CAc(""1910039"", ""1910189"")",0.0994,2018
"282","CA0710007",1.224006025,2018
"283","CA4210004",1.231977914,2018
"284","CA4210011",0.947457017,2018
"285","CA0510016",3.511301581,2018
"286","CA0510006",8.976659982,2018
"287","CA1910127",1.407326206,2018
"288","CA1910028",0.648826594,2018
"289","CA5610063",1.968371607,2019
"290","CA3710016",0.00765,2018
"291","CA4810001",2.298665447,2018
"292","CA1910073",1.294975999,2018
"293","CA3410018",4.343767275,2018
"294","CA5010017",6.376432144,2018
"295","CA4810008",1.478033871,2018
"296","CA3710042",-1.734760255,2019
"297","CA1510015",0.431574704,2018
"298","CA3610052",2.531189057,2018
"299","CA3610001",2.376092278,2018
"300","CA0310002",4.329806745,2018
"301","CA1910124",0.805965404,2018
"302","CA3810011",1.903155594,2019
"303","CA2810005",0.803190555,2018
"304","CA1510032",1.659713833,2018
"305","CA5710003",8.691756642,2018
